title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re J.M.,United States,California,2021,Los Angeles Juvenile Court,shoplifting,15-17,A 16-year-old with no prior record was apprehended shoplifting electronics from a retail store. First offense. Parents cooperative.,First-time shoplifting by minor with no history.,Diversion program completed; case dismissed.,https://www.courtlistener.com/
State v. Rivera,United States,Texas,2019,Harris County Juvenile Court,assault,15-17,17-year-old engaged in a school fight causing minor injuries to another student. No weapon involved.,School assault between students.,Probation 6 months; anger management.,https://www.courtlistener.com/
In re Thompson,United States,Florida,2020,Miami-Dade Juvenile Court,drug possession,15-17,15-year-old found with marijuana at school. No prior delinquency history.,Minor drug possession at school.,Drug education program; informal probation.,https://www.courtlistener.com/
In re Davis,United States,New York,2022,Kings County Family Court,cybercrime,15-17,15-year-old accessed school network without authorization and changed grades for classmates. No financial gain. First offense.,Unauthorized computer access at school.,Restitution; 12-month probation; cyber ethics course.,https://www.courtlistener.com/
In re Chen,United States,California,2023,Santa Clara Juvenile Court,cybercrime,15-17,16-year-old created fake social media accounts to harass a classmate. No prior offenses. School reported incident.,Cyberbullying via fake accounts.,Counseling; restraining order compliance; probation.,https://www.courtlistener.com/
In re Williams,United States,Georgia,2018,Fulton County Juvenile Court,theft,15-17,16-year-old stole a bicycle from apartment complex. Restituted value. No prior record.,Bicycle theft first offense.,Community service 40 hours; restitution.,https://www.courtlistener.com/
In re Martinez,United States,Arizona,2021,Maricopa County Juvenile Court,vandalism,15-17,17-year-old spray-painted public property. Admitted guilt immediately.,Graffiti vandalism.,Community cleanup; fines; probation.,https://www.courtlistener.com/
In re Johnson,United States,Illinois,2020,Cook County Juvenile Court,robbery,15-17,16-year-old participated in snatching a phone from a pedestrian. Accomplice present. Prior warning only.,Phone snatching with accomplice.,Secure detention 3 months; probation.,https://www.courtlistener.com/
In re Anderson,United States,Ohio,2019,Cuyahoga County Juvenile Court,truancy,15-17,Repeated school absences by 15-year-old despite parent efforts. Status offense.,Chronic truancy status offense.,Family court supervision; attendance plan.,https://www.courtlistener.com/
In re Brown,United States,Pennsylvania,2022,Philadelphia Juvenile Court,firearms,15-17,17-year-old found in possession of unloaded firearm. No discharge. Prior misdemeanor as juvenile.,Unlawful firearm possession by minor.,Detention 6 months; gun safety program.,https://www.courtlistener.com/
In re Wilson,United States,Michigan,2021,Wayne County Juvenile Court,cybercrime,15-17,15-year-old sent threatening messages online to a teacher. No physical threat carried out. First offense.,Online threats to educator.,Counseling; no contact order; probation.,https://www.courtlistener.com/
In re Taylor,United States,Washington,2020,King County Juvenile Court,assault,15-17,16-year-old pushed a peer during altercation at bus stop. Minor bruising.,Bus stop altercation.,Mediation; 90-day probation.,https://www.courtlistener.com/
In re Moore,United States,Colorado,2023,Denver Juvenile Court,cybercrime,15-17,16-year-old hacked into a gaming platform account and stole virtual currency. No real-world financial loss to victim.,Account hacking for virtual items.,Restitution of account; technology restriction; probation.,https://www.courtlistener.com/
In re Jackson,United States,North Carolina,2018,Mecklenburg Juvenile Court,burglary,15-17,17-year-old broke into unlocked garage stealing tools. First felony-level charge.,Residential garage burglary.,Secure placement 4 months; probation.,https://www.courtlistener.com/
In re White,United States,Virginia,2022,Fairfax Juvenile Court,cybercrime,15-17,15-year-old distributed embarrassing photos of a peer without consent. No prior record.,Non-consensual image sharing.,Counseling; probation; digital literacy program.,https://www.courtlistener.com/
In re Harris,United States,Massachusetts,2019,Suffolk Juvenile Court,drug possession,15-17,16-year-old possessed prescription pills without prescription at school.,Prescription drug possession.,Substance abuse assessment; probation.,https://www.courtlistener.com/
In re Clark,United States,New Jersey,2021,Essex County Family Court,theft,15-17,15-year-old shoplifted clothing. Cooperated with store security.,Retail theft first offense.,Diversion; community service.,https://www.courtlistener.com/
In re Lewis,United States,Maryland,2020,Baltimore City Juvenile Court,assault,15-17,17-year-old assaulted sibling during domestic dispute. No weapon.,Domestic assault between siblings.,Family counseling; probation.,https://www.courtlistener.com/
In re Walker,United States,Oregon,2023,Multnomah Juvenile Court,cybercrime,15-17,16-year-old used phishing email to obtain classmate login credentials. First offense. School disciplinary referral.,Phishing for school credentials.,Cyber ethics education; probation.,https://www.courtlistener.com/
In re Hall,United States,Minnesota,2018,Hennepin County Juvenile Court,runaway,15-17,15-year-old repeatedly left home without permission. Status offense.,Habitual runaway status offense.,Counseling; family services.,https://www.courtlistener.com/
In re Allen,United States,Tennessee,2022,Davidson County Juvenile Court,vandalism,15-17,16-year-old damaged school bathroom fixtures.,School property vandalism.,Restitution; suspension from school; probation.,https://www.courtlistener.com/
In re Young,United States,Nevada,2021,Clark County Juvenile Court,cybercrime,15-17,15-year-old posted false bomb threat on social media. Quickly recanted. No actual danger.,False threat posted online.,Psychiatric evaluation; probation; apology letter.,https://www.courtlistener.com/
In re King,United States,Wisconsin,2019,Milwaukee Juvenile Court,theft,15-17,17-year-old stole packages from porches in neighborhood.,Package theft spree.,Restitution; probation 12 months.,https://www.courtlistener.com/
In re Scott,United States,Indiana,2020,Marion County Juvenile Court,assault,15-17,16-year-old punched another student in cafeteria. No serious injury.,School cafeteria fight.,Conflict resolution program; probation.,https://www.courtlistener.com/
In re Green,United States,Missouri,2023,St. Louis Juvenile Court,cybercrime,15-17,15-year-old sold exam answers obtained by hacking teacher email. No prior offenses.,Academic fraud via email hack.,School expulsion hearing; probation; restitution.,https://www.courtlistener.com/
X v. State of Maharashtra,India,Maharashtra,2020,Juvenile Justice Board Mumbai,theft,15-17,16-year-old stole mobile phone from classmate. First involvement with justice system.,School theft first offense.,Counseling; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor A,India,Delhi,2021,JJ Board Delhi,cybercrime,15-17,15-year-old created fake Instagram profile to defame a schoolmate. No prior record.,Cyber defamation by minor.,Community service; counseling under JJ Act.,https://services.ecourts.gov.in/
In re Minor B,India,Karnataka,2019,JJ Board Bengaluru,assault,15-17,17-year-old involved in group fight near school causing minor injuries.,Group assault near school.,Placement in observation home 2 months; probation.,https://services.ecourts.gov.in/
In re Minor C,India,Tamil Nadu,2022,JJ Board Chennai,drug possession,15-17,16-year-old found with cannabis at tuition center.,Cannabis possession by minor.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor D,India,Uttar Pradesh,2020,JJ Board Lucknow,cybercrime,15-17,15-year-old shared morphed photos of a peer on WhatsApp. First offense.,Morphing and sharing images.,Counseling; probation; digital awareness.,https://services.ecourts.gov.in/
In re Minor E,India,West Bengal,2021,JJ Board Kolkata,theft,under 14,13-year-old pickpocketed wallet at market. Economic hardship cited.,Pickpocketing by child.,Sponsorship support; observation home 1 month.,https://services.ecourts.gov.in/
In re Minor F,India,Rajasthan,2023,JJ Board Jaipur,vandalism,15-17,16-year-old damaged public bus window during protest.,Public property damage.,Community service; fine.,https://services.ecourts.gov.in/
In re Minor G,India,Gujarat,2018,JJ Board Ahmedabad,cybercrime,15-17,16-year-old hacked school result portal to change marks. No commercial motive.,Hacking school portal.,Probation; IT Act awareness program.,https://services.ecourts.gov.in/
In re Minor H,India,Kerala,2022,JJ Board Kochi,assault,15-17,15-year-old slapped teacher after disciplinary action. No serious injury.,Assault on teacher.,Counseling; school transfer considered.,https://services.ecourts.gov.in/
In re Minor I,India,Punjab,2019,JJ Board Chandigarh,theft,15-17,17-year-old stole two-wheeler temporarily for joyride. Returned vehicle.,Vehicle joyriding theft.,Probation; driving awareness.,https://services.ecourts.gov.in/
In re Minor J,India,Telangana,2021,JJ Board Hyderabad,cybercrime,15-17,15-year-old sent obscene messages to minor via social media. First offense.,Online obscene messaging.,Counseling under POCSO framework review; probation.,https://services.ecourts.gov.in/
In re Minor K,India,Bihar,2020,JJ Board Patna,runaway,under 14,14-year-old left home due to abuse allegations. Child in need of care.,Runaway child protection case.,Placed in child care institution; family assessment.,https://services.ecourts.gov.in/
In re Minor L,India,Madhya Pradesh,2023,JJ Board Bhopal,burglary,15-17,16-year-old broke into shop stealing snacks and cash box.,Shop burglary.,Observation home 3 months; restitution.,https://services.ecourts.gov.in/
In re Minor M,India,Haryana,2018,JJ Board Gurugram,cybercrime,15-17,16-year-old ran online betting group among school friends using UPI.,Illegal online betting by minor.,Probation; financial literacy program.,https://services.ecourts.gov.in/
In re Minor N,India,Odisha,2022,JJ Board Bhubaneswar,assault,15-17,17-year-old stabbed peer with pen during exam altercation. Superficial wound.,Exam hall altercation.,Mediation; probation 6 months.,https://services.ecourts.gov.in/
In re Minor O,India,Assam,2021,JJ Board Guwahati,drug possession,15-17,15-year-old caught with inhalant substance.,Inhalant abuse possession.,De-addiction counseling; supervision.,https://services.ecourts.gov.in/
In re Minor P,India,Jharkhand,2019,JJ Board Ranchi,theft,15-17,16-year-old stole copper wire from construction site.,Construction site theft.,Community service; restitution.,https://services.ecourts.gov.in/
